index,code,country_code,total_pop,destination,destination_code,origin,origin_code,total_mig,life,gni,major1,major1_perc,major2,major2_perc,remit
9185,854,BFA,23548781,Burkina Faso,854,World,900,739820,61.092,2390.527778,Muslims,0.674115456238361,Christians,0.279795158286778,590000000
115,144,LKA,21916000,World,900,Sri Lanka,144,1492103,77.483,12615.60045,Buddhists,0.695921985815603,Hindus,0.145390070921986,6721617581
11883,144,LKA,21916000,Sri Lanka,144,World,900,40698,77.483,12615.60045,Buddhists,0.695921985815603,Hindus,0.145390070921986,6721617581
35,454,MWI,21655286,World,900,Malawi,454,427573,67.353,1633.692615,Christians,0.874039938556068,,,
6667,454,MWI,21655286,Malawi,454,World,900,186719,67.353,1633.692615,Christians,0.874039938556068,,,
46,894,ZMB,21314956,World,900,Zambia,894,122793,66.349,3446.675821,Christians,0.982686253934942,,,
7098,894,ZMB,21314956,Zambia,894,World,900,249205,66.349,3446.675821,Christians,0.982686253934942,,,
92,398,KAZ,20592571,World,900,Kazakhstan,398,2796572,74.402,30988.52844,Muslims,0.779260780287475,,,
10447,398,KAZ,20592571,Kazakhstan,398,World,900,2089797,74.402,30988.52844,Muslims,0.779260780287475,,,
52,148,TCD,20299123,World,900,Chad,148,292298,55.069,1748.000992,Muslims,0.563879210220674,Christians,0.389082462253194,
7448,148,TCD,20299123,Chad,148,World,900,1269673,55.069,1748.000992,Muslims,0.563879210220674,Christians,0.389082462253194,
241,152,CHL ,19764771,World,900,Chile,152,444451,81.167,28047.1698,Christians,0.683531233866804,Unaffiliated,0.302529685080021,xxx
24743,152,CHL ,19764771,Chile,152,World,900,1538324,81.167,28047.1698,Christians,0.683531233866804,Unaffiliated,0.302529685080021,xxx
155,642,ROU,19051804,World,900,Romania,642,4583819,75.938,39374.25372,Christians,0.985559566787004,,,
15228,642,ROU,19051804,Romania,642,World,900,655579,75.938,39374.25372,Christians,0.985559566787004,,,
42,706,SOM,19009151,World,900,Somalia,706,1935594,58.816,1474.738459,Muslims,0.998198198198198,,,
6943,706,SOM,19009151,Somalia,706,World,900,77972,58.816,1474.738459,Muslims,0.998198198198198,,,
87,686,SEN,18501984,World,900,Senegal,686,741357,68.683,4202.030729,Muslims,0.975580702799285,,,
9950,686,SEN,18501984,Senegal,686,World,900,281867,68.683,4202.030729,Muslims,0.975580702799285,,,
